skill_overlap,years_experience,salary_offered,distance_km,seniority,contract_type,remote,match
0.623,6.0,47160,51.9,mid,full_time,no,1
0.643,2.0,30740,55.8,mid,part_time,no,0
0.651,10.5,71002,71.6,senior,full_time,yes,0
0.422,3.9,26361,115.0,mid,internship,yes,1
0.337,1.3,27136,81.7,junior,part_time,yes,1
0.344,9.1,67036,56.8,senior,full_time,no,1
0.551,8.2,40150,75.9,mid,full_time,no,0
0.027,3.0,25155,261.2,mid,part_time,yes,0
0.454,1.7,18228,102.4,junior,part_time,no,0
0.312,4.6,40242,51.2,mid,full_time,no,0
0.076,0.8,35674,8.4,junior,freelance,no,0
0.588,8.5,69250,20.8,senior,full_time,no,1
0.255,6.3,38164,55.7,mid,full_time,no,0
0.732,9.2,71230,13.1,senior,full_time,yes,1
0.588,5.5,20393,98.7,mid,internship,no,1
0.189,1.9,25923,114.4,junior,full_time,yes,0
0.799,5.7,27602,61.4,mid,part_time,yes,1
0.262,2.1,29182,50.2,junior,full_time,no,0
0.259,10.9,62950,81.2,senior,full_time,no,1
0.71,5.6,46596,83.7,mid,full_time,no,1
0.625,4.5,40082,142.2,mid,full_time,yes,1
0.542,2.0,30563,79.0,junior,full_time,no,1
0.533,3.7,70507,12.8,senior,freelance,no,0
0.634,8.1,68612,28.0,senior,full_time,no,1
0.581,3.3,42410,99.7,mid,full_time,no,0
0.278,1.3,29025,41.7,junior,full_time,no,1
0.699,5.2,40746,45.8,mid,full_time,no,1
0.658,2.6,26547,51.0,junior,full_time,no,0
0.238,1.2,33939,117.4,junior,freelance,no,1
0.655,3.9,48330,24.0,mid,full_time,no,0
0.409,3.8,38326,76.4,mid,full_time,no,0
0.728,10.7,63808,54.6,senior,full_time,no,1
0.056,1.2,26696,55.1,junior,full_time,yes,0
0.628,2.9,23549,63.0,junior,full_time,yes,1
0.242,6.7,18458,98.3,mid,internship,yes,0
0.314,0.4,18436,49.5,junior,part_time,no,0
0.328,0.0,27454,55.2,junior,full_time,yes,0
0.43,3.9,48216,16.5,mid,full_time,yes,0
0.529,0.6,18863,29.8,junior,internship,no,0
0.397,7.1,29574,20.9,mid,part_time,yes,1
0.491,4.9,44705,66.1,mid,full_time,no,1
0.467,9.6,62202,40.5,senior,full_time,no,0
0.667,4.3,32138,144.3,mid,part_time,yes,1
0.089,1.9,29973,41.6,junior,full_time,yes,0
0.513,6.2,82135,105.5,senior,freelance,no,1
0.4,3.1,65941,77.4,senior,full_time,no,1
0.207,2.8,22827,68.9,junior,full_time,no,0
0.163,0.8,35771,23.2,junior,freelance,yes,0
0.441,1.8,45980,90.8,mid,full_time,no,0
0.22,3.3,31110,25.1,junior,full_time,no,1
0.381,1.5,24520,130.9,junior,full_time,no,0
0.391,1.4,21435,55.8,junior,part_time,no,0
0.149,7.7,48237,43.4,mid,freelance,no,0
0.893,4.5,48193,345.4,mid,full_time,no,0
0.457,1.1,50459,24.9,mid,freelance,no,1
0.317,6.0,48009,48.0,mid,full_time,no,1
0.429,4.4,39517,45.3,mid,full_time,no,0
0.185,3.1,41241,36.6,mid,full_time,no,0
0.048,0.7,26119,78.5,junior,full_time,no,0
0.275,3.5,24425,67.0,junior,part_time,no,0
0.309,5.9,45989,41.9,mid,full_time,no,0
0.246,0.7,44628,56.7,mid,full_time,yes,0
0.642,3.4,42332,101.8,mid,full_time,no,1
0.591,4.1,32962,55.4,mid,part_time,no,1
0.285,5.8,44910,121.1,mid,freelance,yes,1
0.144,7.9,40561,63.4,mid,full_time,no,1
0.552,4.1,42102,55.7,mid,full_time,yes,1
0.384,1.3,27952,69.2,junior,full_time,no,1
0.61,0.2,26558,65.6,junior,full_time,yes,1
0.783,5.2,46776,41.8,mid,freelance,yes,1
0.327,4.0,23247,88.8,junior,full_time,yes,1
0.247,1.9,29512,20.2,junior,full_time,no,0
0.444,13.3,60199,42.9,senior,full_time,no,1
0.526,2.3,32338,204.2,junior,full_time,yes,1
0.362,3.2,33334,37.4,junior,freelance,no,1
0.187,2.1,31103,32.2,junior,full_time,no,0
0.212,2.5,12741,205.0,junior,internship,yes,0
0.264,8.6,49783,74.7,mid,full_time,yes,1
0.776,4.5,57518,99.5,mid,freelance,yes,1
0.84,5.2,49854,26.5,mid,freelance,yes,1
0.277,2.6,44637,56.7,mid,full_time,yes,1
0.544,1.6,27955,35.6,junior,full_time,no,0
0.259,8.5,39276,160.4,senior,internship,no,0
0.451,2.2,30774,29.8,junior,full_time,no,1
0.517,1.5,21786,93.2,junior,full_time,no,0
0.601,1.5,18107,64.7,junior,part_time,no,1
0.502,7.4,51124,55.4,mid,freelance,yes,1
0.265,3.4,45968,54.2,mid,full_time,yes,1
0.659,1.6,28523,53.5,junior,full_time,no,1
0.194,4.9,37322,34.9,mid,full_time,yes,0
0.494,1.1,30788,44.1,junior,full_time,yes,0
0.895,4.9,29487,34.7,mid,internship,no,1
0.286,4.6,35224,56.7,mid,full_time,yes,0
0.495,2.0,36454,18.7,junior,freelance,yes,1
0.426,2.0,21812,27.5,junior,internship,no,0
0.553,3.8,35747,253.3,mid,part_time,yes,0
0.493,2.3,15118,29.1,junior,internship,no,0
0.545,2.1,31979,24.0,junior,full_time,yes,1
0.415,3.5,27697,35.2,junior,full_time,no,0
0.618,12.8,76647,43.9,senior,freelance,no,1
0.738,11.0,65292,106.1,senior,full_time,no,1
0.896,4.9,42390,39.6,mid,full_time,no,1
0.528,2.6,26173,13.4,junior,full_time,yes,1
0.354,7.0,63378,1.7,senior,full_time,no,1
0.439,7.1,47686,78.6,mid,full_time,no,0
0.549,7.9,21624,195.8,mid,internship,yes,1
0.401,4.2,36415,30.3,mid,full_time,yes,1
0.11,1.3,33304,63.6,junior,part_time,no,0
0.315,2.0,26472,55.5,junior,full_time,no,0
0.351,2.7,64060,80.8,senior,full_time,no,1
0.209,3.8,40593,51.6,mid,full_time,no,0
0.263,2.9,28056,90.2,junior,full_time,no,0
0.0,0.6,29543,82.8,junior,freelance,no,0
0.339,3.3,47213,65.0,mid,full_time,no,0
0.405,3.5,28141,30.7,junior,full_time,yes,1
0.355,7.8,71091,122.1,senior,freelance,no,1
0.431,8.5,33219,248.8,mid,full_time,yes,1
0.879,4.7,45832,49.0,mid,full_time,no,1
0.551,6.2,40458,31.7,mid,full_time,no,1
0.461,5.5,43315,66.6,mid,full_time,no,1
0.528,7.8,40008,59.7,mid,full_time,yes,1
0.374,4.1,42328,23.1,mid,full_time,no,1
0.315,0.7,28745,31.0,junior,full_time,yes,1
0.282,2.4,32063,400.0,junior,full_time,yes,0
0.213,1.5,32779,17.2,junior,freelance,no,0
0.602,2.8,38070,31.8,mid,full_time,no,1
0.172,1.4,36408,49.4,junior,full_time,no,0
0.485,0.2,30361,142.0,junior,full_time,yes,0
0.046,2.4,24693,25.8,junior,full_time,no,0
0.356,7.3,42662,45.9,mid,full_time,no,1
0.421,0.2,30209,69.3,junior,full_time,yes,1
0.623,8.9,76444,9.6,senior,freelance,no,1
0.202,5.9,33717,160.6,mid,part_time,yes,1
0.29,0.1,22489,238.1,junior,part_time,yes,0
0.61,5.2,45212,64.9,mid,full_time,no,1
0.141,2.7,30548,47.4,junior,full_time,no,0
0.306,10.1,67613,60.0,senior,full_time,no,1
0.304,6.8,17575,15.8,mid,internship,yes,1
0.523,5.3,26375,151.0,mid,part_time,yes,1
0.447,3.3,25224,40.2,junior,full_time,no,0
0.513,6.9,41130,17.5,mid,full_time,no,1
0.186,4.9,39340,34.3,mid,full_time,no,0
0.144,6.2,63395,96.9,senior,full_time,yes,1
0.792,5.9,42836,136.3,mid,full_time,no,0
0.287,5.3,38945,17.9,mid,full_time,no,0
0.062,0.8,20428,95.2,junior,full_time,yes,0
0.27,2.5,24086,157.2,junior,full_time,yes,1
0.56,4.0,41126,52.7,mid,full_time,yes,0
0.674,4.2,31541,23.9,mid,part_time,yes,1
0.626,2.3,19007,38.0,junior,internship,yes,1
0.302,9.4,68471,50.1,senior,full_time,yes,1
0.646,9.4,59932,78.8,senior,full_time,yes,1
0.084,1.4,33084,63.4,junior,full_time,no,0
0.114,3.9,30802,101.4,mid,part_time,no,0
0.466,2.8,28242,12.9,junior,full_time,no,1
0.452,4.9,48724,93.6,mid,freelance,no,1
0.658,1.3,18646,75.0,junior,part_time,yes,1
0.172,3.8,43972,75.3,mid,full_time,no,0
0.751,5.2,35181,22.5,mid,full_time,no,1
0.619,5.1,46690,12.0,mid,full_time,no,0
0.604,2.0,29496,12.7,junior,full_time,yes,0
0.294,11.5,68221,70.0,senior,full_time,yes,0
0.511,0.2,29843,119.8,junior,full_time,no,0
0.642,0.3,27295,109.3,junior,full_time,yes,1
0.304,4.8,47709,27.4,mid,full_time,yes,1
0.789,2.7,26302,45.5,junior,full_time,yes,0
0.277,8.2,61498,18.3,senior,full_time,no,0
0.275,10.1,75272,28.6,senior,freelance,no,1
0.18,2.1,24018,58.8,junior,full_time,yes,0
0.194,9.7,63018,162.4,senior,full_time,no,0
0.664,1.4,33113,35.5,junior,freelance,no,1
0.143,4.8,45833,29.7,mid,full_time,yes,1
0.27,3.4,27869,10.9,junior,full_time,no,1
0.294,11.2,63785,11.5,senior,full_time,yes,1
0.663,3.4,14220,8.3,junior,internship,no,1
0.494,1.9,18662,43.2,junior,part_time,no,1
0.261,3.7,41658,38.0,mid,full_time,no,0
0.333,7.0,62829,19.5,senior,full_time,no,1
0.618,1.3,63529,53.5,senior,full_time,yes,1
0.39,4.1,38144,8.1,mid,full_time,no,1
0.364,8.4,58566,42.8,senior,full_time,no,1
0.834,8.4,52534,12.1,senior,part_time,no,1
0.067,2.0,44505,27.5,mid,full_time,no,0
0.092,0.0,12000,51.3,junior,internship,yes,1
0.208,4.3,45538,75.0,mid,full_time,yes,0
0.216,3.0,49897,122.1,mid,freelance,yes,0
0.208,1.4,23478,23.9,junior,full_time,no,0
0.322,0.7,24323,21.7,junior,full_time,no,1
0.636,4.6,41478,13.6,mid,full_time,no,1
0.426,1.6,24224,60.0,junior,part_time,yes,1
0.159,6.1,69029,54.8,senior,full_time,yes,0
0.364,0.6,19745,16.3,junior,part_time,yes,0
0.135,0.3,29607,13.4,junior,full_time,no,1
0.243,5.2,74181,65.9,senior,freelance,no,0
0.624,0.0,29628,58.7,junior,freelance,no,1
0.473,1.7,31362,4.7,junior,full_time,no,1
0.76,3.4,42545,89.6,mid,full_time,no,1
0.401,7.6,68738,13.5,senior,full_time,yes,0
0.03,0.0,24998,21.7,junior,full_time,yes,0
0.12,1.2,27021,54.3,junior,full_time,yes,0
0.684,1.4,26664,63.8,mid,internship,yes,1
0.663,8.7,73768,19.6,senior,freelance,no,0
0.596,7.9,42480,167.2,mid,full_time,yes,1
0.663,2.2,24286,17.7,junior,full_time,no,0
0.461,0.8,28689,29.6,junior,full_time,no,0
0.332,0.4,24223,24.6,junior,full_time,no,0
0.357,1.4,29280,96.2,junior,full_time,no,0
0.139,4.2,39785,139.7,mid,full_time,yes,0
0.603,0.7,27267,46.8,junior,full_time,no,1
0.287,6.7,55262,80.3,mid,freelance,yes,0
0.031,3.7,43280,21.0,mid,full_time,no,0
0.405,7.0,47087,37.9,mid,freelance,no,0
0.41,1.7,31839,92.5,junior,full_time,yes,0
0.525,9.2,64418,25.3,senior,full_time,yes,1
0.815,2.8,38548,7.5,mid,full_time,no,1
0.569,4.8,21824,37.1,mid,internship,no,0
0.578,0.5,24845,12.3,junior,part_time,no,1
0.724,1.4,31649,81.7,junior,full_time,no,1
0.304,3.3,63262,53.4,senior,full_time,no,0
0.621,1.2,20006,35.0,junior,part_time,no,1
0.215,1.5,30311,10.2,junior,full_time,yes,1
0.218,2.9,39999,83.7,mid,part_time,no,0
0.563,8.4,41168,45.9,mid,full_time,no,1
0.416,4.6,79589,94.4,senior,freelance,no,0
0.737,3.1,28873,44.4,junior,full_time,no,1
0.41,11.8,67986,55.8,senior,full_time,no,1
0.249,1.7,31547,72.1,junior,full_time,no,0
0.346,4.1,42616,71.9,mid,full_time,no,0
0.11,5.7,49650,59.1,mid,freelance,yes,1
0.082,2.0,27275,10.9,junior,full_time,no,0
0.362,0.9,30067,101.8,junior,full_time,yes,1
0.754,1.7,32157,20.9,junior,full_time,no,1
0.236,8.5,81622,15.5,senior,freelance,yes,0
0.471,5.2,46237,21.3,mid,full_time,no,1
0.82,9.0,47119,49.9,senior,part_time,no,1
0.26,5.7,64961,200.2,senior,full_time,yes,0
0.264,4.5,45402,29.5,mid,freelance,no,1
0.651,5.3,42539,8.4,mid,full_time,no,1
0.408,1.2,32105,40.7,junior,full_time,yes,1
0.179,1.5,26022,19.9,junior,full_time,no,0
0.473,9.0,35110,18.3,senior,internship,no,1
0.559,6.5,50563,130.7,mid,freelance,no,0
0.693,2.1,31076,110.5,junior,freelance,no,1
0.373,5.5,42594,59.2,mid,full_time,yes,0
0.213,4.7,53649,171.6,mid,freelance,yes,0
0.554,8.1,67033,51.2,senior,full_time,yes,1
0.788,5.3,39479,73.5,mid,full_time,no,1
0.54,1.0,16199,49.9,junior,internship,yes,1
0.481,1.1,29517,33.6,junior,full_time,no,0
0.15,7.4,31866,60.7,mid,internship,no,0
0.287,3.9,48577,25.9,mid,full_time,yes,1
0.291,7.5,76173,64.2,senior,full_time,no,1
0.402,1.7,38271,20.7,mid,full_time,no,0
0.651,1.0,26499,51.2,junior,part_time,yes,1
0.505,1.0,34275,78.0,junior,full_time,yes,1
0.604,2.9,43367,18.8,mid,full_time,yes,1
0.675,5.3,47377,92.0,senior,part_time,no,1
0.732,1.7,31420,84.4,junior,full_time,yes,1
0.159,1.1,19859,21.1,junior,part_time,no,0
0.281,3.0,37996,7.9,mid,full_time,no,0
0.436,3.0,23880,73.5,junior,full_time,yes,1
0.369,6.8,30511,49.9,senior,internship,no,0
0.488,4.2,21816,63.1,junior,part_time,no,0
0.4,0.9,35515,34.7,junior,freelance,yes,1
0.553,13.9,61589,33.2,senior,full_time,no,1
0.209,1.8,34859,171.4,junior,freelance,yes,0
0.109,2.5,33868,94.3,junior,freelance,no,1
0.216,1.2,30054,22.6,junior,full_time,yes,1
0.183,0.5,30380,63.6,junior,full_time,no,1
0.281,3.2,28754,16.6,junior,full_time,no,0
0.32,2.2,32665,32.6,junior,full_time,no,0
0.341,1.8,30183,10.3,junior,full_time,no,0
0.179,3.0,28775,39.2,junior,freelance,yes,1
0.332,3.2,48440,80.5,mid,full_time,no,0
0.456,3.2,39897,25.6,mid,full_time,yes,1
0.315,2.3,28783,50.4,junior,full_time,yes,1
0.37,1.5,37772,77.9,junior,full_time,yes,0
0.619,4.5,43714,70.7,mid,full_time,no,1
0.726,8.1,71871,48.9,senior,freelance,no,0
0.568,11.0,68129,112.9,senior,full_time,yes,1
0.486,0.5,29828,51.5,junior,full_time,no,0
0.206,1.0,28704,50.5,junior,full_time,no,0
0.542,2.7,27066,22.3,junior,full_time,yes,0
0.232,2.2,23521,59.3,junior,full_time,no,1
0.507,4.9,37924,60.5,mid,full_time,no,0
0.858,1.3,25272,20.6,junior,full_time,no,1
0.611,3.3,32532,10.4,junior,full_time,no,1
0.689,1.3,27934,71.4,junior,freelance,no,1
0.855,4.9,43805,277.0,mid,full_time,yes,1
0.418,2.5,32894,84.6,junior,full_time,no,1
0.653,8.5,69228,57.5,senior,full_time,yes,1
0.196,1.7,38141,18.6,junior,freelance,yes,1
0.626,8.2,64898,100.6,senior,full_time,yes,1
0.348,3.4,17599,85.1,junior,internship,no,0
0.181,7.4,69028,400.0,senior,full_time,no,0
0.762,12.4,68294,102.1,senior,full_time,no,1
0.848,9.9,70065,136.8,senior,full_time,yes,1
0.402,7.0,60819,68.7,senior,full_time,no,1
0.313,3.4,26128,156.8,mid,internship,yes,0
0.606,6.0,43707,24.4,mid,full_time,no,0
0.771,5.3,42734,37.3,mid,full_time,yes,1
0.093,2.3,25883,9.9,junior,full_time,no,0
0.335,6.9,43577,29.1,mid,full_time,no,0
0.624,5.8,38544,6.5,mid,full_time,no,1
0.292,8.0,47240,86.0,senior,part_time,no,0
0.396,4.0,45297,11.9,mid,full_time,no,0
0.115,1.5,31647,44.1,junior,full_time,no,0
0.6,6.5,43687,41.8,mid,full_time,no,1
0.321,1.3,26391,85.8,junior,full_time,no,0
0.383,1.5,28310,58.1,junior,freelance,no,0
0.358,4.9,28772,25.7,mid,part_time,no,1
0.244,0.8,32500,45.5,junior,full_time,no,1
0.556,0.1,16081,43.4,junior,internship,no,1
0.531,1.8,27643,16.8,junior,full_time,no,0
0.125,1.0,29412,70.2,junior,full_time,yes,0
0.607,1.0,30396,35.8,junior,full_time,no,1
0.047,1.4,28607,77.4,junior,freelance,no,0
0.601,5.7,29798,47.7,mid,part_time,no,0
0.287,1.6,30261,34.1,junior,full_time,no,0
0.278,11.7,67789,217.4,senior,full_time,yes,0
0.275,1.9,39621,49.1,senior,internship,no,0
0.35,5.6,44637,12.6,mid,full_time,no,0
0.359,1.5,13160,77.0,junior,internship,yes,1
0.534,4.3,36619,85.0,mid,freelance,no,0
0.35,9.8,50927,37.9,senior,part_time,yes,1
0.357,4.7,38342,129.3,mid,full_time,no,0
0.557,10.3,66777,6.7,senior,full_time,no,0
0.157,4.3,47567,3.0,mid,full_time,no,0
0.693,3.2,28841,171.8,mid,part_time,yes,1
0.521,3.2,31103,52.3,junior,full_time,yes,0
0.491,1.3,46306,58.5,mid,full_time,yes,1
0.065,2.2,29210,45.0,junior,full_time,no,0
0.074,3.5,24248,9.4,mid,internship,no,0
0.838,7.1,57733,44.1,senior,full_time,no,1
0.219,3.6,28229,49.5,junior,full_time,no,1
0.49,4.8,43230,31.6,mid,full_time,yes,0
0.289,1.1,25304,55.3,junior,part_time,yes,1
0.704,6.1,45360,62.9,mid,full_time,no,1
0.685,2.3,26214,43.7,junior,full_time,no,0
0.563,9.4,60300,200.2,senior,full_time,yes,0
0.674,1.1,22414,1.4,junior,full_time,no,0
0.767,10.3,69931,107.3,senior,full_time,no,1
0.155,5.9,66679,143.6,senior,full_time,yes,0
0.489,5.7,38197,54.8,mid,full_time,yes,1
0.301,4.1,26872,60.0,mid,part_time,no,0
0.185,3.5,44068,89.0,mid,full_time,yes,0
0.651,11.1,65423,24.4,senior,full_time,no,1
0.383,0.9,33796,28.5,junior,full_time,no,1
0.589,4.2,22819,27.4,mid,internship,no,1
0.089,3.6,16752,16.9,junior,internship,no,1
0.455,3.0,49602,265.7,mid,freelance,yes,0
0.737,0.7,23866,43.8,junior,part_time,no,1
0.342,1.3,38605,183.4,mid,part_time,yes,0
0.409,2.2,45306,28.8,mid,full_time,no,1
0.157,6.6,48899,69.6,mid,full_time,no,1
0.508,7.3,33393,50.3,mid,part_time,no,1
0.136,5.6,36449,153.3,mid,full_time,no,0
0.655,4.4,40376,50.5,mid,full_time,yes,0
0.364,2.4,34373,21.3,mid,part_time,no,0
0.247,4.3,41156,77.1,mid,full_time,no,0
0.914,9.7,66956,145.4,senior,full_time,yes,1
0.541,0.0,30331,66.4,junior,freelance,yes,0
0.548,0.8,33056,24.1,junior,full_time,no,0
0.41,0.0,33360,32.0,junior,full_time,no,0
0.248,5.4,42459,79.6,mid,full_time,yes,1
0.696,0.5,32399,92.7,junior,freelance,yes,1
0.261,5.7,46464,12.8,mid,full_time,no,1
0.313,5.5,35161,34.2,mid,part_time,no,0
0.36,0.6,22292,18.1,junior,full_time,no,1
0.425,8.6,69328,60.0,senior,full_time,yes,1
0.385,6.3,43735,179.0,mid,full_time,no,0
0.575,1.5,28653,51.4,junior,full_time,no,0
0.24,0.0,24928,60.9,junior,full_time,no,1
0.065,2.7,25005,29.7,junior,full_time,no,0
0.64,0.0,17155,140.1,junior,full_time,no,0
0.443,1.4,25703,82.9,junior,full_time,no,1
0.61,9.3,60053,169.0,senior,full_time,yes,1
0.893,7.4,30552,400.0,mid,part_time,yes,1
0.267,1.2,30248,29.1,junior,full_time,yes,0
0.452,3.9,39173,60.9,mid,full_time,yes,1
0.241,8.7,46662,55.8,mid,full_time,no,0
0.833,10.8,73796,39.5,senior,full_time,yes,1
0.476,1.5,42829,29.7,mid,full_time,no,0
0.225,3.3,45390,86.1,mid,full_time,yes,0
0.371,2.3,22335,117.6,junior,full_time,no,0
0.746,14.8,65642,202.0,senior,full_time,no,1
0.483,4.8,44831,235.9,mid,freelance,yes,0
0.361,10.5,58966,54.0,senior,full_time,no,1
0.667,1.9,23569,64.5,junior,full_time,no,0
0.607,11.0,64460,102.9,senior,full_time,no,1
0.395,5.3,41858,100.3,mid,full_time,no,1
0.424,2.7,27745,21.7,junior,full_time,no,1
0.672,4.2,37927,50.6,mid,full_time,no,1
0.439,3.8,42372,44.2,mid,full_time,no,1
0.558,1.1,13428,49.3,junior,internship,yes,1
0.315,7.8,43710,10.1,mid,full_time,yes,1
0.265,9.5,64174,51.9,senior,full_time,no,0
0.614,1.0,14691,92.5,junior,part_time,no,1
0.689,3.7,45922,112.4,mid,freelance,no,1
0.546,3.0,33405,22.2,mid,part_time,no,0
0.063,1.9,30935,27.8,junior,full_time,no,1
0.408,13.8,62639,123.2,senior,full_time,yes,1
0.717,7.0,39326,33.9,mid,full_time,no,1
0.244,2.5,19435,246.2,junior,part_time,no,0
0.578,5.3,78850,87.2,senior,freelance,no,1
0.738,4.7,51855,42.2,senior,part_time,yes,1
0.034,2.3,24360,138.3,junior,full_time,yes,0
0.344,9.4,66722,2.4,senior,full_time,no,1
0.258,1.8,25441,56.3,junior,part_time,no,0
0.468,10.7,65757,11.7,senior,full_time,no,1
0.328,5.8,40547,62.2,mid,full_time,yes,0
0.373,6.1,44969,35.2,mid,full_time,no,1
0.598,1.7,28647,7.3,junior,full_time,no,1
0.623,2.6,64126,42.0,senior,full_time,no,1
0.534,1.5,18526,42.9,junior,internship,no,0
0.443,1.9,20986,21.4,junior,part_time,no,1
0.567,3.5,32482,41.0,junior,freelance,no,1
0.869,4.8,34511,33.8,mid,part_time,no,1
0.669,1.3,26247,49.7,junior,full_time,no,0
0.77,9.0,32775,83.8,senior,internship,yes,0
0.827,2.4,43138,4.8,mid,full_time,no,1
0.663,1.1,26449,17.5,junior,part_time,no,1
0.545,1.1,20039,203.2,junior,full_time,no,0
0.183,1.9,34767,26.3,junior,freelance,no,0
0.171,4.6,42122,14.9,mid,full_time,no,0
0.425,8.5,65081,7.9,senior,full_time,yes,0
0.574,0.0,19368,8.7,junior,part_time,yes,0
0.705,10.9,70110,25.7,senior,full_time,yes,1
0.337,1.4,35546,107.3,junior,freelance,yes,0
0.29,10.1,63320,38.3,senior,full_time,yes,1
0.256,4.5,36816,18.6,senior,internship,no,0
0.616,2.2,28596,64.8,mid,internship,yes,1
0.276,4.9,33941,125.5,mid,part_time,no,0
0.476,6.3,59162,9.6,senior,full_time,no,0
0.205,2.4,23891,85.6,junior,part_time,yes,1
0.374,1.0,16634,21.3,junior,part_time,no,1
0.241,1.7,28763,45.8,junior,full_time,no,1
0.627,5.5,28883,44.0,mid,part_time,no,1
0.491,6.1,49709,39.4,mid,freelance,no,1
0.255,4.4,39656,22.6,mid,full_time,no,1
0.655,7.0,46550,168.4,senior,part_time,yes,0
0.123,3.6,29102,28.0,junior,full_time,no,0
0.731,5.6,43664,129.5,mid,full_time,yes,1
0.469,1.8,30876,33.9,junior,full_time,no,0
0.377,0.0,19774,44.1,junior,part_time,yes,0
0.497,3.1,17801,11.9,mid,internship,no,0
0.34,10.8,67366,118.2,senior,full_time,no,1
0.404,5.9,48324,104.4,mid,full_time,yes,1
0.204,0.1,26818,15.4,junior,full_time,yes,1
0.219,5.5,34146,47.2,mid,part_time,yes,0
0.105,1.2,31109,24.3,junior,freelance,no,0
0.308,9.9,42514,74.1,senior,internship,no,1
0.325,3.3,41419,52.3,mid,full_time,yes,0
0.468,0.7,32039,46.8,junior,freelance,no,1
0.37,1.6,21763,104.8,junior,full_time,yes,1
0.618,1.2,20906,126.9,junior,internship,no,1
0.615,7.4,72880,53.4,senior,freelance,no,1
0.592,5.3,36045,15.1,mid,part_time,no,1
0.229,6.1,39655,91.0,mid,full_time,no,0
0.698,4.6,42984,69.4,mid,full_time,yes,1
0.532,3.3,47014,72.0,mid,freelance,yes,1
0.154,2.7,24729,8.2,junior,full_time,no,0
0.469,9.4,65924,65.6,senior,full_time,yes,1
0.582,0.4,21145,30.6,junior,part_time,yes,1
0.117,4.8,41983,72.7,mid,full_time,yes,0
0.56,5.3,36673,21.0,mid,full_time,no,1
0.425,3.3,42993,44.5,mid,full_time,no,1
0.579,6.4,58151,33.0,senior,full_time,no,1
